epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,84344.9,0.08434,1.27936,0.17351,0.46,0.86,0.85418,0.91042,0.93316,0.9257,0.8156,0.86953,0.87038,0.74279,0.18189,1.1144,0.03683,0.475,0.42273,0.00035382,0.00035382,0.00035382
40,85447.3,0.08442,1.26371,0.17189,0.45445,0.8653,0.89736,0.88045,0.94071,0.93825,0.86204,0.84528,0.87574,0.74152,0.18256,1.09141,0.04391,0.47114,0.42724,0.000325526,0.000325526,0.000325526
41,86697.6,0.07605,1.13538,0.10937,0.29285,0.84944,0.865,0.90581,0.93771,0.93568,0.82472,0.8614,0.86734,0.73921,0.12609,1.06477,0.02068,0.39846,0.37393,0.000297232,0.000297232,0.000297232
42,87939,0.06494,1.08175,0.09423,0.26343,0.84703,0.89168,0.89994,0.94366,0.94155,0.84967,0.85639,0.87273,0.75506,0.12889,1.01578,0.02028,0.39667,0.38256,0.000268938,0.000268938,0.000268938
43,89232.2,0.0631,1.01825,0.09374,0.23472,0.84403,0.90072,0.89412,0.94241,0.94166,0.86128,0.85442,0.87901,0.76074,0.12337,1.02883,0.0143,0.39835,0.37481,0.000240644,0.000240644,0.000240644
44,90348.9,0.0577,0.9985,0.09395,0.22609,0.84344,0.87863,0.90657,0.94311,0.94184,0.84658,0.86515,0.87928,0.76359,0.14665,0.9842,0.01816,0.43036,0.39155,0.000212349,0.000212349,0.000212349
45,91268.8,0.05373,0.9698,0.08964,0.22325,0.84324,0.8889,0.90306,0.94113,0.93955,0.8511,0.86466,0.87739,0.76808,0.13959,0.9457,0.0172,0.41717,0.38707,0.000184055,0.000184055,0.000184055
46,92187.9,0.05179,0.93471,0.08861,0.20624,0.84226,0.89043,0.92329,0.94069,0.93927,0.85348,0.88448,0.87815,0.75957,0.1393,0.97507,0.01979,0.43378,0.38838,0.000155761,0.000155761,0.000155761
47,93417.9,0.04896,0.93533,0.08526,0.19594,0.84344,0.88258,0.91514,0.94287,0.94231,0.84339,0.87537,0.88067,0.77642,0.15076,0.94405,0.0135,0.44329,0.39645,0.000127467,0.000127467,0.000127467
48,94630.6,0.04616,0.89264,0.07748,0.18363,0.83987,0.88858,0.91144,0.9455,0.94497,0.8528,0.87478,0.88179,0.77863,0.13875,0.93431,0.01451,0.4298,0.38718,9.91726e-05,9.91726e-05,9.91726e-05
49,95864.8,0.04428,0.86837,0.07507,0.17471,0.83947,0.88843,0.91948,0.94596,0.94547,0.87214,0.85963,0.8848,0.78366,0.13795,0.922,0.01447,0.42836,0.38897,7.08784e-05,7.08784e-05,7.08784e-05
50,97092.6,0.04185,0.84756,0.07842,0.16078,0.83997,0.87979,0.92456,0.94585,0.94541,0.84303,0.88617,0.88688,0.78159,0.13548,0.90909,0.01307,0.43718,0.38693,4.25842e-05,4.25842e-05,4.25842e-05
